HomeTeam,AwayTeam,FTR,HAS,HDS,HST,AAS,ADS,AST,HC,AC,HTWS,B365H,B365D,B365A,HTDS,HW,HD,HL,AW,AD,AL,WD,DD,LD,HGS,AGS,HGC,AGC,HTLS,ATWS,DAS,DDS,ATDS,ATLS,MR,HF,AF,PD,RD,CornerDiff,ShotsDiff,GoalsScoredDiff,GoalsConceedDiff,HomeTeamLP,AwayTeamLP,HomeTeamCP,AwayTeamCP,probHome,probDraw,probAway,MW,Result
Swansea,Sunderland,H,1.1036789297658862,1.145374449339207,6,0.8810572687224669,1.1036789297658862,1,7,2,2,1.62,4.0,6.5,0,0.2894736842105263,0.23684210526315788,0.47368421052631576,0.2631578947368421,0.21052631578947367,0.5263157894736842,0.026315789473684237,0.02631578947368421,-0.05263157894736842,21,20,27,33,1,3,0.2226216610434193,0.04169551957332085,0,0,0.0,9,9,4,-8.0,5,5,1,-6,9.0,17.0,12.0,15.0,0.5652686383503517,0.22719145694118134,0.19587338138546706,7,1
West Ham,Man City,A,0.8361204013377928,1.145374449339207,2,1.7180616740088108,0.8026755852842808,9,5,5,1,5.5,3.8,1.73,0,0.2894736842105263,0.18421052631578946,0.5263157894736842,0.7105263157894737,0.13157894736842105,0.15789473684210525,-0.42105263157894735,0.05263157894736842,0.3684210526315789,63,39,13,24,2,0,-0.8819412726710181,0.3426988640549262,0,0,-2.75,3,12,-46,8.0,0,-7,24,-11,10.0,2.0,13.0,1.0,0.13839149428205252,0.1892796403252473,0.6474052484624621,7,-1
Aston Villa,Tottenham,A,0.7357859531772576,1.2775330396475773,2,1.1013215859030838,0.9364548494983277,6,4,7,1,4.0,3.5,2.05,0,0.2631578947368421,0.21052631578947367,0.5263157894736842,0.5526315789473685,0.15789473684210525,0.2894736842105263,-0.2894736842105264,0.05263157894736842,0.23684210526315785,30,25,23,28,1,2,-0.36553563272582623,0.34107819014924956,0,1,-3.0,3,9,-31,9.0,-3,-4,5,-5,14.0,5.0,14.0,6.0,0.3008406435844004,0.2620437342791939,0.4323682383513578,7,-1
Crystal Palace,Fulham,A,0.6020066889632106,1.013215859030837,4,0.7048458149779736,1.5719063545150502,6,5,7,1,2.75,3.3,2.8,0,0.34210526315789475,0.15789473684210525,0.5,0.23684210526315788,0.13157894736842105,0.631578947368421,0.10526315789473686,0.02631578947368421,-0.13157894736842102,24,16,38,47,1,0,-0.10283912601476297,-0.5586904954842131,1,1,1.0,5,2,13,6.0,-2,-2,8,-9,18.0,12.0,11.0,19.0,0.5406145051080979,0.2531856282125196,0.20038128189334123,7,-1
Aston Villa,Everton,A,0.7357859531772576,1.2775330396475773,3,1.013215859030837,0.6688963210702341,4,8,6,1,3.4,3.4,2.3,0,0.2631578947368421,0.21052631578947367,0.5263157894736842,0.5526315789473685,0.23684210526315788,0.21052631578947367,-0.2894736842105264,-0.02631578947368421,0.3157894736842105,38,23,19,20,1,1,-0.2774299058535795,0.6086367185773431,0,2,-2.25,3,6,-34,8.0,2,-1,15,-1,14.0,6.0,14.0,5.0,0.21080507884898403,0.25370936447858816,0.5296698985806105,8,-1
Crystal Palace,Arsenal,A,0.6020066889632106,1.013215859030837,4,1.4096916299559472,1.0033444816053512,4,4,3,1,11.0,5.0,1.36,0,0.34210526315789475,0.15789473684210525,0.5,0.631578947368421,0.18421052631578946,0.18421052631578946,-0.28947368421052627,-0.02631578947368421,0.3157894736842105,36,32,11,30,1,0,-0.8076849409927366,0.009871377425485939,0,0,-2.5,5,12,-34,14.0,1,0,4,-19,18.0,4.0,11.0,4.0,0.2127004950877032,0.2783738168666072,0.5058777490435576,8,-1
Liverpool,West Brom,H,1.7725752508361203,0.7929515418502202,7,0.8370044052863437,1.0702341137123745,3,3,9,1,1.44,4.75,8.0,1,0.6842105263157895,0.15789473684210525,0.15789473684210525,0.18421052631578946,0.39473684210526316,0.42105263157894735,0.5,-0.2368421052631579,-0.2631578947368421,24,19,27,32,1,1,0.9355708455497767,-0.2772825718621543,0,0,0.75,7,3,48,-1.0,-6,4,5,-5,7.0,8.0,2.0,17.0,0.6961870435777323,0.10710259957881373,0.07094181256756663,8,1
Man United,Stoke,H,0.9698996655518395,0.9251101321585904,5,0.7929515418502202,1.1705685618729096,5,12,2,1,1.33,5.5,11.0,0,0.5,0.18421052631578946,0.3157894736842105,0.34210526315789475,0.2894736842105263,0.3684210526315789,0.15789473684210525,-0.10526315789473686,-0.05263157894736842,27,18,17,35,1,0,0.17694812370161928,-0.2454584297143192,1,1,0.5,7,7,14,-12.0,10,0,9,-18,1.0,13.0,7.0,9.0,0.6022774358216325,0.22057642457849036,0.16468882801520546,8,1
Norwich,Cardiff,D,0.568561872909699,0.7929515418502202,10,0.5286343612334802,1.3043478260869565,4,13,2,0,2.2,3.4,3.6,1,0.21052631578947367,0.23684210526315788,0.5526315789473685,0.18421052631578946,0.23684210526315788,0.5789473684210527,0.02631578947368421,0.0,-0.02631578947368418,20,12,35,39,2,0,0.039927511676218774,-0.5113962842367363,1,0,0.25,1,1,3,-7.0,11,6,8,-4,11.0,18.0,18.0,20.0,0.4290596811333323,0.30119766358343425,0.26817064495774384,8,0
Southampton,Fulham,H,1.0702341137123745,1.013215859030837,6,0.7048458149779736,1.5719063545150502,0,10,3,2,1.62,4.0,6.5,1,0.39473684210526316,0.2894736842105263,0.3157894736842105,0.23684210526315788,0.13157894736842105,0.631578947368421,0.15789473684210528,0.15789473684210528,-0.3157894736842105,24,16,38,47,0,0,0.36538829873440093,-0.5586904954842131,1,1,2.0,8,2,24,4.0,7,6,8,-9,16.0,12.0,8.0,19.0,0.70336577986161,0.1522873697870951,0.09717362711786184,8,1
